@PG,,,ID:bwa,PN:bwa,,VN:0.7.17-r1188,CL:bwa,mem,#NAME?,10,/cluster/project/gdc/shared/p298/Rishi/PostPhaseScaffoldingGenomes/WF_Canu.chr.fasta,/cluster/project/gdc/shared/p298/Rishi/LinkageMap/SpeciesAveragedMap.fasta,,,,,,
consensus_32821,SA10,55.21,0,PGA,scaffold21,34274770,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17682,SA10,55.54,16,PGA,scaffold21,51420476,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39621,SA10,55.87,16,PGA,scaffold21,28468941,32,x,x,x,x,x,x,x,x,x,x,x
consensus_19339,SA10,56.19,16,PGA,scaffold21,43805066,40,x,x,x,x,x,x,x,x,x,x,x
consensus_27184,SA10,56.19,0,PGA,scaffold21,41727561,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8539,SA10,56.19,16,PGA,scaffold21,56687272,60,x,x,x,x,x,x,x,x,x,x,x
consensus_2705,SA10,56.19,0,PGA,scaffold21,45008761,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46758,SA10,57.17,0,PGA,scaffold21,34989180,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30206,SA10,58.15,0,PGA,scaffold21,43136033,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29242,SA10,58.15,0,PGA,scaffold21,44771484,60,x,x,x,x,x,x,x,x,x,x,x
consensus_56755,SA10,58.47,16,PGA,scaffold21,54580861,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47472,SA10,61.11,0,PGA,scaffold21,24545224,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47846,SA10,62.43,0,PGA,scaffold21,44018710,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48068,SA11,2.62,16,PGA,scaffold29,45258455,40,x,x,x,x,x,x,x,x,x,x,x
consensus_12846,SA11,2.62,16,PGA,scaffold29,48544332,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16083,SA11,4.27,16,PGA,scaffold29,49668268,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36731,SA11,14.63,0,PGA,scaffold29,42796128,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34426,SA11,14.96,16,PGA,scaffold29,45595073,60,x,x,x,x,x,x,x,x,x,x,x
consensus_15896,SA11,15.94,16,PGA,scaffold29,45594987,60,x,x,x,x,x,x,x,x,x,x,x
consensus_55842,SA11,19.65,0,PGA,scaffold29,42975873,60,x,x,x,x,x,x,x,x,x,x,x
consensus_56830,SA11,21.97,0,PGA,scaffold29,39789580,60,x,x,x,x,x,x,x,x,x,x,x
consensus_59074,SA11,21.97,16,PGA,scaffold29,42531792,60,x,x,x,x,x,x,x,x,x,x,x
consensus_37755,SA11,22.63,0,PGA,scaffold29,42708023,60,x,x,x,x,x,x,x,x,x,x,x
consensus_53928,SA11,23.28,0,PGA,scaffold29,38466040,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48464,SA11,23.93,0,PGA,scaffold29,40740701,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33829,SA11,23.93,0,PGA,scaffold29,41098499,60,x,x,x,x,x,x,x,x,x,x,x
consensus_52155,SA11,23.93,0,PGA,scaffold29,39929480,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36791,SA11,23.93,0,PGA,scaffold29,41491104,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40735,SA11,24.26,0,PGA,scaffold29,45086953,59,x,x,x,x,x,x,x,x,x,x,x
consensus_25068,SA11,24.26,16,PGA,scaffold29,43390483,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6914,SA11,24.58,0,PGA,scaffold6,57885844,60,x,x,x,x,x,x,x,x,x,x,x
consensus_57297,SA11,24.58,0,PGA,scaffold15,58181112,32,x,x,x,x,x,x,x,x,x,x,x
consensus_33836,SA11,24.58,16,PGA,scaffold29,40373510,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5889,SA11,24.58,0,PGA,scaffold29,42749753,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28720,SA11,24.58,0,PGA,scaffold29,51900546,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30179,SA11,24.58,16,PGA,scaffold29,42749667,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12003,SA11,24.58,0,PGA,scaffold29,38190400,60,x,x,x,x,x,x,x,x,x,x,x
consensus_74582,SA11,24.91,0,PGA,scaffold29,39929238,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32077,SA11,24.91,16,PGA,scaffold29,52409732,56,x,x,x,x,x,x,x,x,x,x,x
consensus_27568,SA11,25.24,0,PGA,scaffold29,39105698,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47786,SA11,25.89,0,PGA,scaffold29,38456843,38,x,x,x,x,x,x,x,x,x,x,x
consensus_39815,SA11,25.89,0,PGA,scaffold29,38324856,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48270,SA11,27.52,0,PGA,scaffold29,36202129,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5529,SA11,27.85,0,PGA,scaffold29,34628147,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6840,SA11,27.85,0,PGA,scaffold29,36202215,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29801,SA11,28.18,0,PGA,scaffold29,35048075,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39766,SA11,28.18,0,PGA,scaffold29,35831268,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14556,SA11,28.18,0,PGA,scaffold29,34615780,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14245,SA11,28.5,0,PGA,scaffold29,36252565,60,x,x,x,x,x,x,x,x,x,x,x
consensus_42149,SA11,28.5,16,PGA,scaffold29,36065718,60,x,x,x,x,x,x,x,x,x,x,x
consensus_43165,SA11,28.83,0,PGA,scaffold29,34710445,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38284,SA11,29.15,16,PGA,scaffold29,32837338,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1296,SA11,29.48,0,PGA,scaffold29,22395966,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7736,SA11,29.8,16,PGA,scaffold29,26978910,60,x,x,x,x,x,x,x,x,x,x,x
consensus_31226,SA11,29.8,16,PGA,scaffold29,21372730,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35124,SA11,29.8,0,PGA,scaffold29,26702960,56,x,x,x,x,x,x,x,x,x,x,x
consensus_40546,SA11,30.13,16,PGA,scaffold29,33119789,60,x,x,x,x,x,x,x,x,x,x,x
consensus_2935,SA11,30.13,0,PGA,scaffold29,28349469,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27238,SA11,30.46,0,PGA,scaffold29,26500484,51,x,x,x,x,x,x,x,x,x,x,x
consensus_44933,SA11,30.46,0,PGA,scaffold29,28368807,59,x,x,x,x,x,x,x,x,x,x,x
consensus_5839,SA11,30.46,0,PGA,scaffold29,32184981,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13134,SA11,30.46,16,PGA,scaffold29,21372644,54,x,x,x,x,x,x,x,x,x,x,x
consensus_9436,SA11,30.46,0,PGA,scaffold29,28725755,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21655,SA11,31.11,0,PGA,scaffold29,26270558,51,x,x,x,x,x,x,x,x,x,x,x
consensus_18322,SA11,31.11,16,PGA,scaffold29,26226533,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47470,SA11,31.43,16,PGA,scaffold29,24729593,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40446,SA11,31.76,16,PGA,scaffold29,24529883,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10814,SA11,32.74,0,PGA,scaffold29,32446354,60,x,x,x,x,x,x,x,x,x,x,x
consensus_41644,SA11,32.74,0,PGA,scaffold29,22345157,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14117,SA11,33.07,16,PGA,scaffold29,22052133,60,x,x,x,x,x,x,x,x,x,x,x
consensus_930,SA11,33.4,0,PGA,scaffold29,20106296,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12536,SA11,33.72,0,PGA,scaffold29,24447194,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11906,SA11,33.72,16,PGA,scaffold29,21586264,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23005,SA11,33.72,0,PGA,scaffold29,19963527,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20599,SA11,34.05,0,PGA,scaffold29,21318085,60,x,x,x,x,x,x,x,x,x,x,x
consensus_65971,SA11,34.05,0,PGA,scaffold29,21388711,60,x,x,x,x,x,x,x,x,x,x,x
consensus_259,SA11,35.03,0,PGA,scaffold29,19140904,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29718,SA11,36.01,0,PGA,scaffold29,19130708,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38796,SA11,36.34,0,PGA,scaffold29,16373963,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27517,SA11,36.34,16,PGA,scaffold29,18850743,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29702,SA11,36.34,16,PGA,scaffold29,18758665,40,x,x,x,x,x,x,x,x,x,x,x
consensus_28118,SA11,36.66,16,PGA,scaffold29,18007827,60,x,x,x,x,x,x,x,x,x,x,x
consensus_19243,SA11,36.99,16,PGA,scaffold29,18122259,60,x,x,x,x,x,x,x,x,x,x,x
consensus_22922,SA11,36.99,0,PGA,scaffold29,18036675,60,x,x,x,x,x,x,x,x,x,x,x
consensus_43378,SA11,37.31,16,PGA,scaffold29,18007913,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44295,SA11,37.97,16,PGA,scaffold29,17330898,60,x,x,x,x,x,x,x,x,x,x,x
consensus_71390,SA11,38.29,0,PGA,scaffold29,16373877,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5723,SA11,39.28,16,PGA,scaffold29,9001162,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28198,SA11,40.59,16,PGA,scaffold29,13923128,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9673,SA11,40.92,16,PGA,scaffold29,13465419,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38507,SA11,42.57,16,PGA,scaffold29,12663358,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11083,SA11,44.55,0,PGA,scaffold29,12177587,43,x,x,x,x,x,x,x,x,x,x,x
consensus_18353,SA11,44.88,0,PGA,scaffold29,14345066,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16932,SA11,44.88,16,PGA,scaffold29,12145004,60,x,x,x,x,x,x,x,x,x,x,x
consensus_173,SA11,45.21,0,PGA,scaffold29,11287904,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35418,SA11,45.21,0,PGA,scaffold29,9287102,60,x,x,x,x,x,x,x,x,x,x,x
consensus_60722,SA11,45.21,0,PGA,scaffold29,7212293,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39754,SA11,45.21,0,PGA,scaffold29,21646450,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40635,SA11,45.21,0,PGA,scaffold29,12167186,60,x,x,x,x,x,x,x,x,x,x,x
consensus_320,SA11,46.86,16,PGA,scaffold29,10282348,60,x,x,x,x,x,x,x,x,x,x,x
consensus_41567,SA11,47.18,0,PGA,scaffold29,10688394,60,x,x,x,x,x,x,x,x,x,x,x
consensus_59792,SA11,47.51,0,PGA,scaffold29,10380754,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20951,SA11,47.51,16,PGA,scaffold29,10378595,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7124,SA11,47.51,0,PGA,scaffold29,10860684,60,x,x,x,x,x,x,x,x,x,x,x
consensus_64826,SA11,47.51,0,PGA,scaffold29,10688480,60,x,x,x,x,x,x,x,x,x,x,x
consensus_24524,SA11,47.51,0,PGA,scaffold29,10415840,60,x,x,x,x,x,x,x,x,x,x,x
consensus_54896,SA11,47.83,0,PGA,scaffold29,11412775,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5768,SA11,48.82,0,PGA,scaffold29,9144690,43,x,x,x,x,x,x,x,x,x,x,x
consensus_48326,SA11,49.14,0,PGA,scaffold29,9700855,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21127,SA11,49.14,16,PGA,scaffold29,8928895,60,x,x,x,x,x,x,x,x,x,x,x
consensus_55936,SA11,50.45,0,PGA,scaffold29,8175092,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39866,SA11,50.78,0,PGA,scaffold29,8050761,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51280,SA11,50.78,0,PGA,scaffold29,7950302,60,x,x,x,x,x,x,x,x,x,x,x
consensus_43054,SA11,50.78,0,Contig,18317.008798F,14977,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44338,SA11,51.1,0,PGA,scaffold29,7563258,60,x,x,x,x,x,x,x,x,x,x,x
consensus_60626,SA11,51.43,0,PGA,scaffold29,7563344,60,x,x,x,x,x,x,x,x,x,x,x
consensus_4431,SA11,51.75,16,PGA,scaffold29,7736703,60,x,x,x,x,x,x,x,x,x,x,x
consensus_70841,SA11,52.08,16,PGA,scaffold29,26945284,60,x,x,x,x,x,x,x,x,x,x,x
consensus_73705,SA11,52.08,0,PGA,scaffold29,7503533,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17565,SA11,52.4,0,PGA,scaffold29,7701687,60,x,x,x,x,x,x,x,x,x,x,x
consensus_58655,SA11,52.73,0,PGA,scaffold29,7527275,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7229,SA11,53.71,16,PGA,scaffold29,7005083,56,x,x,x,x,x,x,x,x,x,x,x
consensus_68319,SA11,54.37,0,PGA,scaffold29,6705490,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46453,SA11,58.42,0,PGA,scaffold29,6196390,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40472,SA11,60.41,0,PGA,scaffold29,4695305,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5755,SA11,61.06,16,PGA,scaffold29,26978824,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16343,SA11,61.39,0,PGA,scaffold29,24631290,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8932,SA11,62.04,0,PGA,scaffold29,33535592,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21131,SA11,62.04,0,PGA,scaffold29,35778173,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11002,SA11,62.69,0,PGA,scaffold29,20117569,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45769,SA11,63.02,0,PGA,scaffold29,26782590,60,x,x,x,x,x,x,x,x,x,x,x
consensus_67590,SA11,65.01,0,PGA,scaffold29,22964792,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36245,SA12,0,16,PGA,scaffold8,5343797,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1371,SA12,0.98,16,PGA,scaffold8,4897391,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7606,SA12,1.64,16,PGA,scaffold8,10861862,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30403,SA12,2.62,16,PGA,scaffold8,6783595,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47227,SA12,11.09,0,PGA,scaffold8,20390242,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1476,SA12,11.42,16,PGA,scaffold12,54094069,60,x,x,x,x,x,x,x,x,x,x,x
consensus_67423,SA12,12.4,16,PGA,scaffold8,7983162,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32786,SA12,12.4,0,PGA,scaffold8,19872991,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47525,SA12,13.39,16,PGA,scaffold8,63227497,60,x,x,x,x,x,x,x,x,x,x,x
consensus_65310,SA12,13.39,0,PGA,scaffold8,10873723,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14919,SA12,13.71,0,PGA,scaffold8,13965906,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27790,SA12,14.04,0,PGA,scaffold8,12973830,60,x,x,x,x,x,x,x,x,x,x,x
consensus_54299,SA12,14.36,16,PGA,scaffold8,13965992,60,x,x,x,x,x,x,x,x,x,x,x
consensus_58251,SA12,14.36,16,PGA,scaffold8,14010934,60,x,x,x,x,x,x,x,x,x,x,x
consensus_68708,SA12,14.36,16,PGA,scaffold8,20332744,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29052,SA12,14.69,16,PGA,scaffold8,19224799,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40350,SA12,14.69,0,PGA,scaffold8,20386666,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47989,SA12,14.69,16,PGA,scaffold8,19872905,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36708,SA12,14.69,0,PGA,scaffold8,20018397,60,x,x,x,x,x,x,x,x,x,x,x
consensus_18833,SA12,14.69,16,PGA,scaffold8,19592860,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29041,SA12,15.02,0,PGA,scaffold8,6066388,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21661,SA12,15.02,16,PGA,scaffold37,16650179,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29177,SA12,15.02,0,PGA,scaffold8,63218967,37,x,x,x,x,x,x,x,x,x,x,x
consensus_73066,SA12,15.02,16,PGA,scaffold8,15595449,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46259,SA12,15.02,0,PGA,scaffold37,16749953,60,x,x,x,x,x,x,x,x,x,x,x
consensus_59584,SA12,15.02,0,PGA,scaffold8,58705019,60,x,x,x,x,x,x,x,x,x,x,x
